# x l P_ref P_forward P_backward_exp abs_err_forward rel_err_forward abs_err_backward rel_err_backward
0.90000000000000002 9 -3.69510485976562608e-01 -3.69510485976562664e-01 -3.03808264638544545e-01 5.55111512312578270e-17 1.50228892921806815e-16 6.57022213380180631e-02 1.77808814178511410e-01
0.90000000000000002 10 -2.63145617855859548e-01 -2.63145617855859604e-01 -1.92446397524880131e-01 5.55111512312578270e-17 2.10952216052727780e-16 7.06992203309794176e-02 2.68669571270252261e-01
0.90000000000000002 11 -1.16213392519101760e-01 -1.16213392519101871e-01 -5.44685697122535423e-02 1.11022302462515654e-16 9.55331395598550608e-16 6.17448228068482180e-02 5.31305570454793763e-01
0.90000000000000002 12 4.07487142724206816e-02 4.07487142724205845e-02 8.24509149775027594e-02 9.71445146547011973e-17 2.38398968873601997e-15 4.17022007050820778e-02 1.02339917834675664e+00
0.90000000000000002 13 1.77800521642975884e-01 1.77800521642975828e-01 1.92982186426219587e-01 5.55111512312578270e-17 3.12210283289969351e-16 1.51816647832437035e-02 8.53859406201773891e-02
0.90000000000000002 14 2.70772813598774698e-01 2.70772813598774698e-01 2.58400373960685770e-01 0.00000000000000000e+00 0.00000000000000000e+00 1.23724396380889279e-02 4.56930645054423462e-02
0.90000000000000002 15 3.05197542128423760e-01 3.05197542128423871e-01 2.69499943360454963e-01 1.11022302462515654e-16 3.63771941570219781e-16 3.56975987679687967e-02 1.16965551291850309e-01
0.90000000000000002 16 2.78338701337587702e-01 2.78338701337587868e-01 2.27690175646650506e-01 1.66533453693773481e-16 5.98312246530857501e-16 5.06485256909371961e-02 1.81967241520995998e-01
0.90000000000000002 17 1.99029338568916164e-01 1.99029338568916359e-01 1.44141124878720051e-01 1.94289029309402395e-16 9.76182861815257587e-16 5.48882136901961137e-02 2.75779511125644639e-01
0.90000000000000002 18 8.54259023434371378e-02 8.54259023434373183e-02 3.72062470937012668e-02 1.80411241501587938e-16 2.11190325829140110e-15 4.82196552497358710e-02 5.64461760741826746e-01
0.90000000000000002 19 -3.88339761160018115e-02 -3.88339761160016519e-02 -7.13459062945636102e-02 1.59594559789866253e-16 4.10966312883177040e-15 3.25119301785617987e-02 8.37203228467893856e-01
0.90000000000000002 20 -1.49308235309848464e-01 -1.49308235309848353e-01 -1.60558000285975361e-01 1.11022302462515654e-16 7.43577889271272907e-16 1.12497649761268970e-02 7.53459107783377297e-02
0.90000000000000002 21 -2.25371160029208206e-01 -2.25371160029208123e-01 -2.14174861174343700e-01 8.32667268468867405e-17 3.69464872240509089e-16 1.11962988548645059e-02 4.96793771368681802e-02
0.90000000000000002 22 -2.53926861437433649e-01 -2.53926861437433593e-01 -2.23493141883709973e-01 5.55111512312578270e-17 2.18610787834809304e-16 3.04337195537236760e-02 1.19852304641753699e-01
0.90000000000000002 23 -2.31559668155368770e-01 -2.31559668155368742e-01 -1.88679360889334485e-01 2.77555756156289135e-17 1.19863600758858634e-16 4.28803072660342843e-02 1.85180379673298867e-01
0.90000000000000002 24 -1.64777339579630255e-01 -1.64777339579630255e-01 -1.18366445928896641e-01 0.00000000000000000e+00 0.00000000000000000e+00 4.64108936507336145e-02 2.81658229032791863e-01
0.90000000000000002 25 -6.83699455893137381e-02 -6.83699455893138075e-02 -2.76662241648125765e-02 6.93889390390722838e-17 1.01490411380286101e-15 4.07037214245011617e-02 5.95345236472781036e-01
0.90000000000000002 26 3.77404994977405955e-02 3.77404994977404915e-02 6.49723638099045653e-02 1.04083408558608426e-16 2.75787045597633321e-15 2.72318643121639697e-02 7.21555482162981265e-01
0.90000000000000002 27 1.32512607828310508e-01 1.32512607828310397e-01 1.41426058593243531e-01 1.11022302462515654e-16 8.37824447665850079e-16 8.91345076493302302e-03 6.72649260399561660e-02
0.90000000000000002 28 1.97870735752227633e-01 1.97870735752227550e-01 1.87369145624933287e-01 8.32667268468867405e-17 4.20813752626627699e-16 1.05015901272943468e-02 5.30729826589636036e-02
0.90000000000000002 29 2.22083300858502891e-01 2.22083300858502863e-01 1.94900259653388253e-01 2.77555756156289135e-17 1.24978219921690430e-16 2.71830412051146386e-02 1.22400203437330546e-01
